N, Avail
1, 0.94001026
3, 0.98964273
5, 0.99803661
7, 0.99960761
9, 0.99992142
11, 0.99998377
13, 0.99999659
15, 0.99999923
17, 0.99999984
19, 0.99999997
21, 1
23, 1
25, 1
